Product_Description,Product_Gender,Clothing_Type,Avg_Price
Android Lifted Men's Short Sleeve Tee Blue,Men,T-Shirts & Shirts,15.99
Android Men's  Zip Hoodie,Men,Outerwear,39.19
Android Men's Engineer Short Sleeve Tee Charcoal,Men,T-Shirts & Shirts,19.99
Android Men's Long & Lean Badge Tee Charcoal,Men,T-Shirts & Shirts,6.0
Android Men's Long Sleeve Badge Crew Tee Heather,Men,T-Shirts & Shirts,10.5
Android Men's Outerstellar Short Sleeve Tee Black,Men,T-Shirts & Shirts,15.99
Android Men's Pep Rally Short Sleeve Tee Navy,Men,T-Shirts & Shirts,11.19
Android Men's Short Sleeve Hero Tee Heather,Men,T-Shirts & Shirts,5.7
Android Men's Short Sleeve Hero Tee White,Men,T-Shirts & Shirts,8.49
Android Men's Short Sleeve Tri-blend Hero Tee Grey,Men,T-Shirts & Shirts,13.29
Android Men's Skater Badge Tee Charcoal,Men,T-Shirts & Shirts,6.0
Android Men's Take Charge Short Sleeve Tee Purple,Men,T-Shirts & Shirts,11.19
Android Men's Vintage Tee,Men,T-Shirts & Shirts,18.99
Android Women's Dash Tee Grey,Women,T-Shirts & Shirts,17.93
Android Women's Fleece Hoodie,Women,Outerwear,44.79
Android Women's Peace Tee Black,Women,T-Shirts & Shirts,17.93
Android Women's Short Sleeve Badge Tee Light Charcoal,Women,T-Shirts & Shirts,17.09
Android Women's Short Sleeve Tri-blend Badge Tee Light Blue,Women,T-Shirts & Shirts,15.19
Google Men's  Zip Hoodie,Men,Outerwear,44.79
Google Men's 100% Cotton Short Sleeve Hero Tee Black,Men,T-Shirts & Shirts,13.59
Google Men's 100% Cotton Short Sleeve Hero Tee Navy,Men,T-Shirts & Shirts,13.59
Google Men's 100% Cotton Short Sleeve Hero Tee Red,Men,T-Shirts & Shirts,16.99
Google Men's 100% Cotton Short Sleeve Hero Tee White,Men,T-Shirts & Shirts,13.59
Google Men's Airflow 1/4 Zip Pullover Black,Men,Outerwear,39.19
Google Men's Airflow 1/4 Zip Pullover Lapis,Men,Outerwear,28.0
Google Men's Around The Block Short Sleeve Tee Ash,Men,T-Shirts & Shirts,13.99
Google Men's Bayside Graphic Tee,Men,T-Shirts & Shirts,15.99
Google Men's Bike Short Sleeve Tee Charcoal,Men,T-Shirts & Shirts,15.99
Google Men's Colorblock Tee White/Heather,Men,T-Shirts & Shirts,34.99
Google Men's Convertible Vest-Jacket Pewter,Men,Outerwear,55.43
Google Men's Heavyweight Long Sleeve Hero Tee Burgundy,Men,T-Shirts & Shirts,31.99
Google Men's Heavyweight Long Sleeve Hero Tee Navy,Men,T-Shirts & Shirts,39.99
Google Men's Lightweight Microfleece Jacket Black,Men,Outerwear,59.99
Google Men's Long & Lean Tee Charcoal,Men,T-Shirts & Shirts,6.0
Google Men's Long & Lean Tee Grey,Men,T-Shirts & Shirts,9.99
Google Men's Long Sleeve Pullover Badge Tee Heather,Men,T-Shirts & Shirts,34.99
Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,Men,Outerwear,37.49
Google Men's Microfiber 1/4 Zip Pullover Grey/Black,Men,Outerwear,61.89
Google Men's Performance 1/4 Zip Pullover Heather/Black,Men,Outerwear,26.4
Google Men's Performance Full Zip Jacket Black,Men,Outerwear,67.19
