Product_Description,Product_Gender,Clothing_Type,Avg_Price
Google Men's Performance Hero Tee Gunmetal,Men,T-Shirts & Shirts,15.39
Google Men's Performance Polo Grey/Black,Men,T-Shirts & Shirts,71.99
Google Men's Pullover Hoodie Grey,Men,Outerwear,41.59
Google Men's Quilted Insulated Vest Battleship Grey,Men,Outerwear,41.99
Google Men's Quilted Insulated Vest Black,Men,Outerwear,52.49
Google Men's Short Sleeve Badge Tee Charcoal,Men,T-Shirts & Shirts,13.29
Google Men's Short Sleeve Hero Tee Charcoal,Men,T-Shirts & Shirts,13.29
Google Men's Short Sleeve Hero Tee Heather,Men,T-Shirts & Shirts,15.19
Google Men's Short Sleeve Hero Tee Light Blue,Men,T-Shirts & Shirts,15.19
Google Men's Short Sleeve Performance Badge Tee Black,Men,T-Shirts & Shirts,15.39
Google Men's Short Sleeve Performance Badge Tee Charcoal,Men,T-Shirts & Shirts,13.2
Google Men's Short Sleeve Performance Badge Tee Navy,Men,T-Shirts & Shirts,15.39
Google Men's Short Sleeve Performance Badge Tee Pewter,Men,T-Shirts & Shirts,11.0
Google Men's Skater Tee Grey,Men,T-Shirts & Shirts,11.19
Google Men's Vintage Badge Tee Black,Men,T-Shirts & Shirts,10.63
Google Men's Vintage Badge Tee Sage,Men,T-Shirts & Shirts,5.7
Google Men's Vintage Badge Tee White,Men,T-Shirts & Shirts,5.7
Google Men's Watershed Full Zip Hoodie Grey,Men,Outerwear,61.59
Google Women's 1/4 Zip Jacket Charcoal,Women,Outerwear,44.0
Google Women's 1/4 Zip Performance Pullover Black,Women,Outerwear,32.49
Google Women's 1/4 Zip Performance Pullover Two-Tone Blue,Women,Outerwear,26.0
Google Women's Coder Tee Navy,Women,T-Shirts & Shirts,17.93
Google Women's Colorblock Tee White,Women,T-Shirts & Shirts,27.99
Google Women's Convertible Vest-Jacket Black,Women,Outerwear,23.76
Google Women's Convertible Vest-Jacket Sea Foam Green,Women,Outerwear,23.76
Google Women's Fleece Hoodie,Women,Outerwear,44.79
Google Women's Lightweight Microfleece Jacket,Women,Outerwear,41.99
Google Women's Long Sleeve Tee Lavender,Women,T-Shirts & Shirts,12.0
Google Women's Performance Golf Polo Blue,Women,T-Shirts & Shirts,11.82
Google Women's Performance Hero Tee Gunmetal,Women,T-Shirts & Shirts,11.0
Google Women's Performance Polo Grey/Black,Women,T-Shirts & Shirts,62.99
Google Women's Quilted Insulated Vest Black,Women,Outerwear,59.99
Google Women's Quilted Insulated Vest White,Women,Outerwear,37.49
Google Women's Scoop Neck Tee Black,Women,T-Shirts & Shirts,4.845
Google Women's Scoop Neck Tee Green,Women,T-Shirts & Shirts,15.99
Google Women's Scoop Neck Tee White,Women,T-Shirts & Shirts,4.8
Google Women's Shell Jacket Blue/Black,Women,Outerwear,22.8
Google Women's Short Sleeve Badge Tee Grey,Women,T-Shirts & Shirts,4.08
Google Women's Short Sleeve Badge Tee Navy,Women,T-Shirts & Shirts,8.49
Google Women's Short Sleeve Badge Tee Red Heather,Women,T-Shirts & Shirts,15.19
Google Women's Short Sleeve Hero Tee Black,Women,T-Shirts & Shirts,13.59
Google Women's Short Sleeve Hero Tee Grey,Women,T-Shirts & Shirts,4.08
Google Women's Short Sleeve Hero Tee Heather,Women,T-Shirts & Shirts,15.19
Google Women's Short Sleeve Hero Tee Red Heather,Women,T-Shirts & Shirts,15.19
Google Women's Short Sleeve Hero Tee Sky Blue,Women,T-Shirts & Shirts,15.19
Google Women's Short Sleeve Hero Tee White,Women,T-Shirts & Shirts,13.59
Google Women's Short Sleeve Performance Tee Black,Women,T-Shirts & Shirts,16.490000000000002
Google Women's Short Sleeve Performance Tee Charcoal,Women,T-Shirts & Shirts,22.0
Google Women's Short Sleeve Performance Tee Navy,Women,T-Shirts & Shirts,17.59
Google Women's Short Sleeve Performance Tee Pewter,Women,T-Shirts & Shirts,5.28
Google Women's Softshell Jacket Black/Grey,Women,Outerwear,21.6
Google Women's Tee Grey,Women,T-Shirts & Shirts,13.43
Google Women's Vintage Hero Tee Black,Women,T-Shirts & Shirts,5.7
Google Women's Vintage Hero Tee Lavender,Women,T-Shirts & Shirts,9.49
Google Women's Vintage Hero Tee Platinum,Women,T-Shirts & Shirts,4.654999999999999
Google Women's Vintage Hero Tee White,Women,T-Shirts & Shirts,15.19
Google Women's Yoga Jacket Black,Women,Outerwear,42.0
Google Women's Zip Hoodie Grey,Women,Outerwear,115.53
Men's Softshell Jacket Black/Grey,Men,Outerwear,79.19
Men's Weatherblock Shell Jacket Black,Men,Outerwear,46.5
Women's Performance Full Zip Jacket Black,Women,Outerwear,67.19
Women's Weatherblock Shell Jacket Black,Women,Outerwear,46.5
YouTube Men's Fleece Hoodie Black,Men,Outerwear,44.79
YouTube Men's Long & Lean Tee Charcoal,Men,T-Shirts & Shirts,9.99
YouTube Men's Long Sleeve Pullover Badge Tee Heather,Men,T-Shirts & Shirts,31.935000000000002
YouTube Men's Short Sleeve Hero Tee  White,Men,T-Shirts & Shirts,4.25
YouTube Men's Short Sleeve Hero Tee Black,Men,T-Shirts & Shirts,16.99
YouTube Men's Short Sleeve Hero Tee Charcoal,Men,T-Shirts & Shirts,15.67
YouTube Men's Short Sleeve Hero Tee White,Men,T-Shirts & Shirts,16.99
YouTube Men's Skater Tee Charcoal,Men,T-Shirts & Shirts,9.99
YouTube Men's Vintage Tee,Men,T-Shirts & Shirts,15.67
YouTube Women's Favorite Tee White,Women,T-Shirts & Shirts,17.93
YouTube Women's Fleece Hoodie Black,Women,Outerwear,31.35
YouTube Women's Short Sleeve Hero Tee Charcoal,Women,T-Shirts & Shirts,15.19
YouTube Women's Short Sleeve Tri-blend Badge Tee Charcoal,Women,T-Shirts & Shirts,7.6
YouTube Women's Short Sleeve Tri-blend Badge Tee Grey,Women,T-Shirts & Shirts,13.29
